,Acquisition_Date,file_name,month,year,season,day_of_year,season_wfd
206,2022-02-27 09:42:33,S3A_CHL_IT_20220227T094233_L1.tif,2,2022,winter,58,Winter
207,2022-02-28 09:16:22,S3A_CHL_IT_20220228T091622_L1.tif,2,2022,winter,59,Winter
208,2022-03-03 09:38:48,S3A_CHL_IT_20220303T093848_L1.tif,3,2022,spring,62,Winter
360,2022-03-09 09:44:17,S3B_CHL_IT_20220309T094417_L1.tif,3,2022,spring,68,Winter
209,2022-03-10 09:57:30,S3A_CHL_IT_20220310T095730_L1.tif,3,2022,spring,69,Winter
361,2022-03-20 09:59:14,S3B_CHL_IT_20220320T095914_L1.tif,3,2022,spring,79,Winter
210,2022-03-22 09:46:18,S3A_CHL_IT_20220322T094618_L1.tif,3,2022,spring,81,None
211,2022-03-23 09:20:07,S3A_CHL_IT_20220323T092007_L1.tif,3,2022,spring,82,None
362,2022-03-24 09:55:30,S3B_CHL_IT_20220324T095530_L1.tif,3,2022,spring,83,None
212,2022-03-25 10:08:45,S3A_CHL_IT_20220325T100845_L1.tif,3,2022,spring,84,None
213,2022-04-03 09:35:06,S3A_CHL_IT_20220403T093506_L1.tif,4,2022,spring,93,Spring
363,2022-04-05 09:44:16,S3B_CHL_IT_20220405T094416_L1.tif,4,2022,spring,95,Spring
364,2022-04-09 09:40:33,S3B_CHL_IT_20220409T094033_L1.tif,4,2022,spring,99,Spring
214,2022-04-10 09:53:48,S3A_CHL_IT_20220410T095348_L1.tif,4,2022,spring,100,Spring
365,2022-04-12 10:03:00,S3B_CHL_IT_20220412T100300_L1.tif,4,2022,spring,102,Spring
215,2022-04-14 09:50:03,S3A_CHL_IT_20220414T095003_L1.tif,4,2022,spring,104,Spring
366,2022-04-16 09:59:16,S3B_CHL_IT_20220416T095916_L1.tif,4,2022,spring,106,Spring
367,2022-04-17 09:33:06,S3B_CHL_IT_20220417T093306_L1.tif,4,2022,spring,107,Spring
216,2022-04-17 10:12:31,S3A_CHL_IT_20220417T101231_L1.tif,4,2022,spring,107,Spring
217,2022-04-18 09:46:20,S3A_CHL_IT_20220418T094620_L1.tif,4,2022,spring,108,Spring
218,2022-04-19 09:20:09,S3A_CHL_IT_20220419T092009_L1.tif,4,2022,spring,109,Spring
219,2022-04-25 10:05:04,S3A_CHL_IT_20220425T100504_L1.tif,4,2022,spring,115,Spring
368,2022-04-27 10:14:15,S3B_CHL_IT_20220427T101415_L1.tif,4,2022,spring,117,Spring
369,2022-04-28 09:48:04,S3B_CHL_IT_20220428T094804_L1.tif,4,2022,spring,118,Spring
370,2022-05-01 10:10:32,S3B_CHL_IT_20220501T101032_L1.tif,5,2022,spring,121,Spring
371,2022-05-02 09:44:21,S3B_CHL_IT_20220502T094421_L1.tif,5,2022,spring,122,Spring
220,2022-05-11 09:50:05,S3A_CHL_IT_20220511T095005_L1.tif,5,2022,spring,131,Spring
221,2022-05-26 10:01:18,S3A_CHL_IT_20220526T100118_L1.tif,5,2022,spring,146,Spring-summer transition
372,2022-06-09 09:59:26,S3B_CHL_IT_20220609T095926_L1.tif,6,2022,summer,160,Spring-summer transition
222,2022-06-10 10:12:30,S3A_CHL_IT_20220610T101230_L1.tif,6,2022,summer,161,Spring-summer transition
373,2022-06-13 09:55:42,S3B_CHL_IT_20220613T095542_L1.tif,6,2022,summer,164,Spring-summer transition
374,2022-06-25 09:44:28,S3B_CHL_IT_20220625T094428_L1.tif,6,2022,summer,176,None
375,2022-07-02 10:03:11,S3B_CHL_IT_20220702T100311_L1.tif,7,2022,summer,183,Summer
376,2022-07-06 09:59:27,S3B_CHL_IT_20220706T095927_L1.tif,7,2022,summer,187,Summer
223,2022-07-07 10:12:29,S3A_CHL_IT_20220707T101229_L1.tif,7,2022,summer,188,Summer
224,2022-07-08 09:46:18,S3A_CHL_IT_20220708T094618_L1.tif,7,2022,summer,189,Summer
377,2022-07-10 09:55:44,S3B_CHL_IT_20220710T095544_L1.tif,7,2022,summer,191,Summer
225,2022-07-11 10:08:44,S3A_CHL_IT_20220711T100844_L1.tif,7,2022,summer,192,Summer
226,2022-07-15 10:04:59,S3A_CHL_IT_20220715T100459_L1.tif,7,2022,summer,196,Summer
378,2022-07-18 09:48:16,S3B_CHL_IT_20220718T094816_L1.tif,7,2022,summer,199,Summer
227,2022-07-27 09:53:44,S3A_CHL_IT_20220727T095344_L1.tif,7,2022,summer,208,Summer
228,2022-07-31 09:50:00,S3A_CHL_IT_20220731T095000_L1.tif,7,2022,summer,212,Summer
229,2022-08-03 10:12:26,S3A_CHL_IT_20220803T101226_L1.tif,8,2022,summer,215,Summer
230,2022-08-08 09:42:30,S3A_CHL_IT_20220808T094230_L1.tif,8,2022,summer,220,Summer
379,2022-08-09 10:18:09,S3B_CHL_IT_20220809T101809_L1.tif,8,2022,summer,221,Summer
231,2022-08-11 10:04:56,S3A_CHL_IT_20220811T100456_L1.tif,8,2022,summer,223,Summer
380,2022-08-13 10:14:26,S3B_CHL_IT_20220813T101426_L1.tif,8,2022,summer,225,Summer
232,2022-08-20 09:31:15,S3A_CHL_IT_20220820T093115_L1.tif,8,2022,summer,232,Summer
381,2022-08-21 10:06:58,S3B_CHL_IT_20220821T100658_L1.tif,8,2022,summer,233,Summer
233,2022-08-23 09:53:41,S3A_CHL_IT_20220823T095341_L1.tif,8,2022,summer,235,Summer
382,2022-08-25 10:03:13,S3B_CHL_IT_20220825T100313_L1.tif,8,2022,summer,237,Summer
383,2022-08-29 09:59:29,S3B_CHL_IT_20220829T095929_L1.tif,8,2022,summer,241,Summer
234,2022-09-04 09:42:29,S3A_CHL_IT_20220904T094229_L1.tif,9,2022,autumn,247,Summer-autumn transition
235,2022-09-08 09:38:46,S3A_CHL_IT_20220908T093846_L1.tif,9,2022,autumn,251,Summer-autumn transition
236,2022-09-11 10:01:13,S3A_CHL_IT_20220911T100113_L1.tif,9,2022,autumn,254,Summer-autumn transition
237,2022-09-12 09:35:02,S3A_CHL_IT_20220912T093502_L1.tif,9,2022,autumn,255,Summer-autumn transition
238,2022-09-15 09:57:29,S3A_CHL_IT_20220915T095729_L1.tif,9,2022,autumn,258,Summer-autumn transition
239,2022-09-16 09:31:18,S3A_CHL_IT_20220916T093118_L1.tif,9,2022,autumn,259,Summer-autumn transition
240,2022-09-19 09:53:44,S3A_CHL_IT_20220919T095344_L1.tif,9,2022,autumn,262,Summer-autumn transition
241,2022-09-27 09:46:15,S3A_CHL_IT_20220927T094615_L1.tif,9,2022,autumn,270,Summer-autumn transition
384,2022-10-18 10:03:09,S3B_CHL_IT_20221018T100309_L1.tif,10,2022,autumn,291,Autumn
385,2022-10-19 09:36:58,S3B_CHL_IT_20221019T093658_L1.tif,10,2022,autumn,292,Autumn
386,2022-10-27 09:29:32,S3B_CHL_IT_20221027T092932_L1.tif,10,2022,autumn,300,Autumn
242,2022-10-27 10:08:41,S3A_CHL_IT_20221027T100841_L1.tif,10,2022,autumn,300,Autumn
388,2022-11-04 09:22:05,S3B_TSM_IT_20221104T092205_L1.tif,11,2022,autumn,308,Autumn
387,2022-11-04 09:22:05,S3B_CHL_IT_20221104T092205_L1.tif,11,2022,autumn,308,Autumn
243,2022-11-04 10:01:11,S3A_CHL_IT_20221104T100111_L1.tif,11,2022,autumn,308,Autumn
244,2022-11-05 09:35:00,S3A_CHL_IT_20221105T093500_L1.tif,11,2022,autumn,309,Autumn
